l2,lr,epochs,useWeights,brier,logloss,accuracy,p05,p95,spreadWidth,trainTime
1e-9,0.008,12,true,0.250494,0.694153,0.507437,0.472766,0.554509,0.081743,4.36
1e-9,0.008,15,true,0.250565,0.694319,0.504902,0.455912,0.555641,0.099729,5.67
1e-9,0.008,18,true,0.250516,0.694185,0.500134,0.474360,0.541082,0.066722,6.10
1e-9,0.01,12,true,0.250699,0.694569,0.505562,0.476900,0.559292,0.082391,4.21
1e-9,0.01,15,true,0.250692,0.694572,0.504405,0.452390,0.560355,0.107965,5.03
1e-9,0.01,18,true,0.250563,0.694280,0.499874,0.474212,0.541232,0.067021,5.88
1e-9,0.015,12,true,0.250757,0.694737,0.506728,0.478940,0.559049,0.080109,4.09
1e-9,0.015,15,true,0.250769,0.694729,0.503615,0.449385,0.559487,0.110102,4.92
1e-9,0.015,18,true,0.250903,0.694996,0.500346,0.470094,0.559116,0.089022,5.96
5e-9,0.008,12,true,0.250494,0.694153,0.507437,0.472766,0.554509,0.081743,4.02
5e-9,0.008,15,true,0.250565,0.694319,0.504894,0.455912,0.555641,0.099729,5.01
5e-9,0.008,18,true,0.250516,0.694185,0.500134,0.474360,0.541082,0.066722,6.11
5e-9,0.01,12,true,0.250699,0.694569,0.505562,0.476900,0.559292,0.082391,4.02
5e-9,0.01,15,true,0.250692,0.694572,0.504405,0.452390,0.560355,0.107965,5.12
5e-9,0.01,18,true,0.250563,0.694280,0.499874,0.474212,0.541232,0.067020,6.08
5e-9,0.015,12,true,0.250757,0.694737,0.506728,0.478940,0.559049,0.080109,3.95
5e-9,0.015,15,true,0.250769,0.694729,0.503615,0.449385,0.559487,0.110102,5.01
5e-9,0.015,18,true,0.250903,0.694996,0.500346,0.470094,0.559116,0.089022,6.12
1e-8,0.008,12,true,0.250494,0.694153,0.507437,0.472766,0.554509,0.081743,3.98
1e-8,0.008,15,true,0.250565,0.694319,0.504894,0.455912,0.555641,0.099729,5.39
1e-8,0.008,18,true,0.250516,0.694185,0.500134,0.474360,0.541082,0.066722,6.61
1e-8,0.01,12,true,0.250699,0.694569,0.505562,0.476900,0.559292,0.082391,4.22
1e-8,0.01,15,true,0.250692,0.694572,0.504405,0.452390,0.560355,0.107965,4.97
1e-8,0.01,18,true,0.250563,0.694280,0.499874,0.474212,0.541232,0.067020,6.26
1e-8,0.015,12,true,0.250757,0.694737,0.506728,0.478940,0.559049,0.080109,3.99
1e-8,0.015,15,true,0.250769,0.694729,0.503615,0.449385,0.559487,0.110102,5.28
1e-8,0.015,18,true,0.250903,0.694996,0.500346,0.470094,0.559116,0.089022,6.79
5e-8,0.008,12,true,0.250494,0.694153,0.507437,0.472766,0.554509,0.081743,4.14
5e-8,0.008,15,true,0.250565,0.694319,0.504894,0.455912,0.555641,0.099729,5.20
5e-8,0.008,18,true,0.250516,0.694185,0.500134,0.474360,0.541082,0.066721,5.99
5e-8,0.01,12,true,0.250699,0.694569,0.505562,0.476900,0.559292,0.082391,4.01
5e-8,0.01,15,true,0.250692,0.694572,0.504405,0.452390,0.560355,0.107965,4.98
5e-8,0.01,18,true,0.250563,0.694280,0.499874,0.474212,0.541232,0.067020,6.37
5e-8,0.015,12,true,0.250757,0.694737,0.506728,0.478940,0.559049,0.080109,4.21
5e-8,0.015,15,true,0.250769,0.694729,0.503615,0.449385,0.559487,0.110102,4.92
5e-8,0.015,18,true,0.250903,0.694996,0.500346,0.470094,0.559116,0.089022,5.93